id,tanggal,total
1,2025-01-15,150000
2,2025-01-16,165000
3,2025-01-17,185000
4,2025-01-18,195000
5,2025-01-19,220000
6,2025-01-20,215000
7,2025-01-21,240000
8,2025-01-22,255000
9,2025-01-23,265000
10,2025-01-24,280000
11,2025-01-25,295000
12,2025-01-26,290000
13,2025-01-27,315000
14,2025-01-28,340000
15,2025-01-29,355000
16,2025-01-30,365000
17,2025-01-31,385000
18,2025-02-01,380000
19,2025-02-02,410000
20,2025-02-03,435000
21,2025-02-04,450000
22,2025-02-05,470000
23,2025-02-06,490000
24,2025-02-07,485000
25,2025-02-08,515000
26,2025-02-09,545000
27,2025-02-10,560000
28,2025-02-11,585000
29,2025-02-12,605000
30,2025-02-13,630000
